window,trial,session,subject,app,cohort,group,rater
CS1,5,T8,b,0,summer15,RET,SL
CS1,6,T8,b,0,summer15,RET,SL
CS1,7,T8,b,2,summer15,RET,SL
CS1,8,T8,b,4,summer15,RET,SL
CS2,1,T8,b,2,summer15,RET,SL
CS2,2,T8,b,1,summer15,RET,SL
CS2,3,T8,b,3,summer15,RET,SL
CS2,4,T8,b,2,summer15,RET,SL
CS2,5,T8,b,3,summer15,RET,SL
CS2,6,T8,b,1,summer15,RET,SL
CS2,7,T8,b,3,summer15,RET,SL
CS2,8,T8,b,2,summer15,RET,SL
preCS,1,T9,b,0,summer15,RET,SL
preCS,2,T9,b,0,summer15,RET,SL
preCS,3,T9,b,0,summer15,RET,SL
preCS,4,T9,b,0,summer15,RET,SL
preCS,5,T9,b,0,summer15,RET,SL
preCS,6,T9,b,0,summer15,RET,SL
preCS,7,T9,b,0,summer15,RET,SL
preCS,8,T9,b,0,summer15,RET,SL
CS1,1,T9,b,2,summer15,RET,SL
CS1,2,T9,b,2,summer15,RET,SL
CS1,3,T9,b,0,summer15,RET,SL
CS1,4,T9,b,3,summer15,RET,SL
CS1,5,T9,b,2,summer15,RET,SL
CS1,6,T9,b,0,summer15,RET,SL
CS1,7,T9,b,3,summer15,RET,SL
CS1,8,T9,b,0,summer15,RET,SL
CS2,1,T9,b,4,summer15,RET,SL
CS2,2,T9,b,2,summer15,RET,SL
CS2,3,T9,b,0,summer15,RET,SL
CS2,4,T9,b,4,summer15,RET,SL
CS2,5,T9,b,3,summer15,RET,SL
CS2,6,T9,b,1,summer15,RET,SL
CS2,7,T9,b,4,summer15,RET,SL
CS2,8,T9,b,0,summer15,RET,SL
preCS,1,T10,b,0,summer15,RET,SL
preCS,2,T10,b,0,summer15,RET,SL
preCS,3,T10,b,0,summer15,RET,SL
preCS,4,T10,b,0,summer15,RET,SL
preCS,5,T10,b,0,summer15,RET,SL
preCS,6,T10,b,0,summer15,RET,SL
preCS,7,T10,b,0,summer15,RET,SL
preCS,8,T10,b,0,summer15,RET,SL
CS1,1,T10,b,1,summer15,RET,SL
CS1,2,T10,b,2,summer15,RET,SL
CS1,3,T10,b,3,summer15,RET,SL
CS1,4,T10,b,3,summer15,RET,SL
CS1,5,T10,b,3,summer15,RET,SL
CS1,6,T10,b,2,summer15,RET,SL
CS1,7,T10,b,2,summer15,RET,SL
CS1,8,T10,b,2,summer15,RET,SL
CS2,1,T10,b,2,summer15,RET,SL
CS2,2,T10,b,4,summer15,RET,SL
CS2,3,T10,b,3,summer15,RET,SL
CS2,4,T10,b,3,summer15,RET,SL
CS2,5,T10,b,1,summer15,RET,SL
CS2,6,T10,b,4,summer15,RET,SL
CS2,7,T10,b,4,summer15,RET,SL
CS2,8,T10,b,2,summer15,RET,SL
preCS,1,T11,b,0,summer15,RET,SL
preCS,2,T11,b,0,summer15,RET,SL
preCS,3,T11,b,0,summer15,RET,SL
preCS,4,T11,b,0,summer15,RET,SL
preCS,5,T11,b,0,summer15,RET,SL
preCS,6,T11,b,0,summer15,RET,SL
preCS,7,T11,b,0,summer15,RET,SL
preCS,8,T11,b,0,summer15,RET,SL
CS1,1,T11,b,0,summer15,RET,SL
CS1,2,T11,b,3,summer15,RET,SL
CS1,3,T11,b,3,summer15,RET,SL
CS1,4,T11,b,4,summer15,RET,SL
CS1,5,T11,b,3,summer15,RET,SL
CS1,6,T11,b,2,summer15,RET,SL
CS1,7,T11,b,0,summer15,RET,SL
CS1,8,T11,b,0,summer15,RET,SL
CS2,1,T11,b,0,summer15,RET,SL
CS2,2,T11,b,4,summer15,RET,SL
CS2,3,T11,b,4,summer15,RET,SL
CS2,4,T11,b,4,summer15,RET,SL
CS2,5,T11,b,3,summer15,RET,SL
CS2,6,T11,b,4,summer15,RET,SL
CS2,7,T11,b,0,summer15,RET,SL
CS2,8,T11,b,0,summer15,RET,SL
preCS,1,T12,b,0,summer15,RET,SL
preCS,2,T12,b,0,summer15,RET,SL
preCS,3,T12,b,0,summer15,RET,SL
preCS,4,T12,b,0,summer15,RET,SL
preCS,5,T12,b,0,summer15,RET,SL
preCS,6,T12,b,0,summer15,RET,SL
preCS,7,T12,b,0,summer15,RET,SL
preCS,8,T12,b,0,summer15,RET,SL
CS1,1,T12,b,1,summer15,RET,SL
CS1,2,T12,b,4,summer15,RET,SL
CS1,3,T12,b,3,summer15,RET,SL
CS1,4,T12,b,0,summer15,RET,SL
CS1,5,T12,b,0,summer15,RET,SL
CS1,6,T12,b,0,summer15,RET,SL
CS1,7,T12,b,0,summer15,RET,SL
CS1,8,T12,b,0,summer15,RET,SL
CS2,1,T12,b,2,summer15,RET,SL
CS2,2,T12,b,3,summer15,RET,SL
CS2,3,T12,b,4,summer15,RET,SL
CS2,4,T12,b,2,summer15,RET,SL
CS2,5,T12,b,4,summer15,RET,SL
CS2,6,T12,b,0,summer15,RET,SL
CS2,7,T12,b,0,summer15,RET,SL
CS2,8,T12,b,0,summer15,RET,SL
preCS,1,T1,c,0,summer15,NORET,SL
preCS,2,T1,c,0,summer15,NORET,SL
preCS,3,T1,c,0,summer15,NORET,SL
preCS,4,T1,c,0,summer15,NORET,SL
preCS,5,T1,c,0,summer15,NORET,SL
preCS,6,T1,c,0,summer15,NORET,SL
preCS,7,T1,c,0,summer15,NORET,SL
preCS,8,T1,c,0,summer15,NORET,SL
CS1,1,T1,c,0,summer15,NORET,SL
CS1,2,T1,c,0,summer15,NORET,SL
CS1,3,T1,c,0,summer15,NORET,SL
CS1,4,T1,c,0,summer15,NORET,SL
CS1,5,T1,c,0,summer15,NORET,SL
CS1,6,T1,c,0,summer15,NORET,SL
CS1,7,T1,c,1,summer15,NORET,SL
CS1,8,T1,c,0,summer15,NORET,SL
CS2,1,T1,c,1,summer15,NORET,SL
CS2,2,T1,c,0,summer15,NORET,SL
CS2,3,T1,c,1,summer15,NORET,SL
CS2,4,T1,c,0,summer15,NORET,SL
CS2,5,T1,c,0,summer15,NORET,SL
CS2,6,T1,c,0,summer15,NORET,SL
CS2,7,T1,c,0,summer15,NORET,SL
CS2,8,T1,c,0,summer15,NORET,SL
preCS,1,T2,c,0,summer15,NORET,SL
preCS,2,T2,c,0,summer15,NORET,SL
